A1;An Experience Report on Teaching Scrum Principles in a Playful Way through Distant Collaboration with Online Whiteboards;2022;Kiev Gama, Higor Oliveira;UFPE,UFPE,;PE,PE,;Processo de Desenvolvimento;https://doi.org/10.6084/m9.figshare.20380125.v2
A2;A Syllabus Proposal for Teaching of Software Development Process in Undergraduate Courses in Computer Science;2022;José A S Quaresma, Sandro R B Oliveira;UFPA,UFPA,;PA,PA,;Processo de Desenvolvimento;Não disponibiliza link. 
A3;Using Real Worked Examples to Aid Software Engineering Teaching;2021;Simone de França Tonhão, Thelma Elita Colanzi, Igor Steinmacher;UEM,UEM,UTFPR,;PR,PR,PR,;Processo de Desenvolvimento;"https://bityli.com/aFEGW
https://bityli.com/JIiyg
https://github.com/eclipse/jgit
https://bityli.com/4SHnu
https://github.com/apache/dubbo
https://bityli.com/OnFCj
https://github.com/nus-cs2103-AY1718S1/addressbook-level2
https://figshare.com/s/13bb48a750d9de5490ac"
A4;Gamifying Flipped Classes: An Experience Report in Software Engineering Remote Teaching;2021;Mayara Olivindo, Nécio Veras, Windson Viana, Mariela Cortés, Lincoln Rocha;IFC,IFC,UFC,UECE,UFC,;CE,CE,CE,CE,CE,;Análise / Projeto / Modelagem;http://nupreds.ifce.edu.br/necio/gamifying.html
A5;Evaluation of the application of gamification in the discipline of Software Engineering in times of pandemic;2021;Vitor Castro, Adam Santos;Unifesspa,Unifesspa,;PA,PA,;Análise / Projeto / Modelagem;O artigo não fornece acesso direto à abordagem específica de gamificação utilizada no estudo.
A6;A Preliminary Guide for Assertive Selection of Active Methodologies in Software Engineering Education;2021;José Vinícius Vieira Lima, Fernanda Maria R. de Alencar, Wylliams Barbosa Santos;UPE,UFPE,UPE,;PE,PE,PE,;Processo de Desenvolvimento;"1https://bit.ly/GuiadeSelecaodeMetodologiasAtivasV1
2https://estiloaprendizagemkolb.github.io/"
A7;Do We Use FLOSS in Software Engineering Education? Mapping the Profiles and Practices of Higher Education Teachers from Brazil;2020;Fernanda Gomes Silva, Paulo Ezequiel Dias dos Santos, Christina von Flach G. Chavez;UFBA,UFBA,UNIT;BA,BA,SE,;Teste;https://floss2020.github.io/Instrumento/index.html https://floss2020.github.io/Instrumento/validarInst.html                                                      
A8;Teaching Exploratory Tests through PBL and JiTT: an experience report in a context of distributed teams;2021;Jarbele C. S. Coutinho, Wilkerson L. Andrade, Patrícia D. L. Machado;UFERSA,UFCG,UFCG,;RN,PB,PB,;Processo de Desenvolvimento;https://www.getxray.app/exploratory-testing-app/ https://cutt.ly/Ym5vEk2 https://url.gratis/oKDzKc
A9;An Online Educational Hackathon to Foster Professional Skills and Intense Collaboration on Software Engineering Students;2021;Caio Steglich, Sabrina Marczak, Luiz Guerra, Cássio Trindade, Alessandra Dutra, Ana Paula Bacelo;PUCRS,PUCRS,PUCRS,PUCRS,PUCRS,PUCRS,;RS,RS,RS,RS,RS,RS,;Processo de Desenvolvimento;Não disponibiliza link.
A10;Teaching UML Models with FLOSS Projects: A Study Carried out during the Period of Social Isolation Imposed by the COVID-19 Pandemic;2020;Fernanda Gomes Silva, Nádia da Luz Lopes, Christina von Flach G. Chavez, Moara Sousa Brito Lessa;UFBA,UFBA,UNIT,UFBA,;BA,BA,PE,BA,;Análise / Projeto / Modelagem;"https://www.flipsnack.com/nayfts/roteiro-de-aprendizagem-ftul4i5jd.html?p=1
http://191.252.92.63/flosssearch/
https://floss2020.github.io/projeto/formAmb.html
https://floss2020.github.io/projeto/QuestMetFlossPage.html                                                                       https://trello.com/b/0wcZirra/grupo-a-pojeto-x"
